Fileversion:004,,,,,,,,,
Type,Date,Source Name,Area Name,Currency,PriceUnit,Comment,Base,Peak,OffPeak
Comment:  DatedBrent,1,2,3,4,5,6,7,8,9
Spot,3/1/2012,Heren Index,HerenTTF,EUR,MWh,,23.888,,
Spot,3/2/2012,Heren Index,HerenTTF,EUR,MWh,,23.666,,
Spot,3/3/2012,Heren Index,HerenTTF,EUR,MWh,,23.607,,
Spot,3/4/2012,Heren Index,HerenTTF,EUR,MWh,,23.607,,
Spot,3/5/2012,Heren Index,HerenTTF,EUR,MWh,,23.78,,
Spot,3/6/2012,Heren Index,HerenTTF,EUR,MWh,,23.693,,
Spot,3/7/2012,Heren Index,HerenTTF,EUR,MWh,,23.675,,
Spot,3/8/2012,Heren Index,HerenTTF,EUR,MWh,,23.679,,
Spot,3/9/2012,Heren Index,HerenTTF,EUR,MWh,,24.064,,
Spot,3/10/2012,Heren Index,HerenTTF,EUR,MWh,,24.079,,
Spot,3/11/2012,Heren Index,HerenTTF,EUR,MWh,,24.079,,
Spot,3/12/2012,Heren Index,HerenTTF,EUR,MWh,,24.375,,
Spot,3/13/2012,Heren Index,HerenTTF,EUR,MWh,,23.968,,
Spot,3/14/2012,Heren Index,HerenTTF,EUR,MWh,,23.748,,
Spot,3/15/2012,Heren Index,HerenTTF,EUR,MWh,,24.558,,
Spot,3/16/2012,Heren Index,HerenTTF,EUR,MWh,,24.328,,
Spot,3/17/2012,Heren Index,HerenTTF,EUR,MWh,,24.032,,
Spot,3/18/2012,Heren Index,HerenTTF,EUR,MWh,,24.032,,
Spot,3/19/2012,Heren Index,HerenTTF,EUR,MWh,,24.419,,
Spot,3/20/2012,Heren Index,HerenTTF,EUR,MWh,,24.975,,
Spot,3/21/2012,Heren Index,HerenTTF,EUR,MWh,,24.967,,
Spot,3/22/2012,Heren Index,HerenTTF,EUR,MWh,,24.597,,
Spot,3/23/2012,Heren Index,HerenTTF,EUR,MWh,,23.917,,
Spot,3/24/2012,Heren Index,HerenTTF,EUR,MWh,,22.833,,
Spot,3/25/2012,Heren Index,HerenTTF,EUR,MWh,,22.833,,
Spot,3/26/2012,Heren Index,HerenTTF,EUR,MWh,,22.766,,
Spot,3/27/2012,Heren Index,HerenTTF,EUR,MWh,,22.983,,
Spot,3/28/2012,Heren Index,HerenTTF,EUR,MWh,,23.236,,
Spot,3/29/2012,Heren Index,HerenTTF,EUR,MWh,,23.677,,
Spot,3/30/2012,Heren Index,HerenTTF,EUR,MWh,,23.506,,
Spot,3/31/2012,Heren Index,HerenTTF,EUR,MWh,,23.768,,
Spot,4/1/2012,Heren Index,HerenTTF,EUR,MWh,,23.768,,
Spot,4/2/2012,Heren Index,HerenTTF,EUR,MWh,,25,,
