Report Date,Market,BenchName,Currency,TimeZone,Resolution,,,,,,,,,
31/10/2015,NPFail,NPX,EUR,Central Europe Standard Time,Hour,,,,,,,,,
,,NPSBase,NPSPeak,NO1,NO2,NO3,NO4,NO5,DK1,DK2,FI,SE1,SE2,SE3
,Winter Short,90,90,90,90,90,90,90,90,90,90,90,90,90
,Winter Medium,17,17,17,17,17,17,17,17,17,17,17,17,17
,Winter Long,10,10,10,10,10,10,10,10,10,10,10,10,10
,Winter Time,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Summer Short,90,90,90,90,90,90,90,90,90,90,90,90,90
,Summer Medium,17,17,17,17,17,17,17,17,17,17,17,17,17
,Summer Long,10,10,10,10,10,10,10,10,10,10,10,10,10
,Summer Time,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Date,Hour,,,,,,,,,,,,,
01/12/2015,2,33.19730929,35.84872555,32.46610666,33.19730929,33.19730929,34.02041819,33.19730929,33.22133156,37.87544868,38.81907533,34.98706834,34.52046944,35.63522696
01/12/2015,3,33.19924145,35.84995752,32.46796459,33.19924145,33.19924145,34.02253724,33.19924145,33.22228463,37.87702471,38.82033222,34.98909995,34.52246076,35.6372561
01/12/2015,4,33.20117303,35.85118795,32.46982197,33.20117303,33.20117303,34.02465567,33.20117303,33.22323928,37.87860046,38.82158984,34.99113097,34.52445168,35.63928456
01/12/2015,5,33.20310402,35.85241684,32.4716788,33.20310402,33.20310402,34.02677347,33.20310402,33.22419551,37.88017594,38.82284821,34.99316138,34.52644221,35.64131234
01/12/2015,6,33.20503442,35.8536442,32.47353507,33.20503442,33.20503442,34.02889065,33.20503442,33.22515331,37.88175115,38.82410731,34.99519119,34.52843235,35.64333945
01/12/2015,7,33.20696424,35.85487002,32.47539078,33.20696424,33.20696424,34.03100719,33.20696424,33.22611269,37.88332608,38.82536714,34.9972204,34.53042209,35.64536588
01/12/2015,8,33.20889347,35.8560943,32.47724594,33.20889347,33.20889347,34.03312311,33.20889347,33.22707365,37.88490073,38.82662771,34.99924901,34.53241143,35.64739163
01/12/2015,9,33.21082212,35.85731704,32.47910054,33.21082212,33.21082212,34.03523841,33.21082212,33.22803619,37.88647511,38.82788902,35.00127702,34.53440038,35.6494167
01/12/2015,10,33.21275018,35.85853824,32.48095459,33.21275018,33.21275018,34.03735308,33.21275018,33.22900031,37.88804922,38.82915107,35.00330443,34.53638894,35.6514411
01/12/2015,11,33.21467765,35.8597579,32.48280808,33.21467765,33.21467765,34.03946712,33.21467765,33.22996601,37.88962305,38.83041386,35.00533124,34.5383771,35.65346482
01/12/2015,12,33.21660453,35.86097602,32.48466101,33.21660453,33.21660453,34.04158053,33.21660453,33.23093329,37.89119661,38.83167738,35.00735744,34.54036486,35.65548787
01/12/2015,13,33.21853083,35.8621926,32.48651339,33.21853083,33.21853083,34.04369331,33.21853083,33.23190215,37.89276989,38.83294164,35.00938304,34.54235223,35.65751024
01/12/2015,14,33.22045654,35.86340764,32.48836521,33.22045654,33.22045654,34.04580547,33.22045654,33.2328726,37.8943429,38.83420664,35.01140805,34.5443392,35.65953192
01/12/2015,15,33.22238167,35.86462114,32.49021648,33.22238167,33.22238167,34.047917,33.22238167,33.23384462,37.89591564,38.83547238,35.01343244,34.54632578,35.66155294
01/12/2015,16,33.2243062,35.8658331,32.49206718,33.2243062,33.2243062,34.0500279,33.2243062,33.23481823,37.8974881,38.83673886,35.01545624,34.54831196,35.66357327
01/12/2015,17,33.22623015,35.86704351,32.49391734,33.22623015,33.22623015,34.05213818,33.22623015,33.23579341,37.89906028,38.83800607,35.01747943,34.55029775,35.66559292
01/12/2015,18,33.22815351,35.86825239,32.49576693,33.22815351,33.22815351,34.05424782,33.22815351,33.23677018,37.90063219,38.83927403,35.01950203,34.55228314,35.6676119
01/12/2015,19,33.23007629,35.86945972,32.49761597,33.23007629,33.23007629,34.05635684,33.23007629,33.23774854,37.90220382,38.84054272,35.02152401,34.55426813,35.6696302
01/12/2015,20,33.23199847,35.87066551,32.49946445,33.23199847,33.23199847,34.05846523,33.23199847,33.23872847,37.90377518,38.84181215,35.0235454,34.55625273,35.67164782
01/12/2015,21,33.23392007,35.87186976,32.50131237,33.23392007,33.23392007,34.06057299,33.23392007,33.23970999,37.90534627,38.84308232,35.02556618,34.55823693,35.67366476
01/12/2015,22,33.23584108,35.87307246,32.50315974,33.23584108,33.23584108,34.06268013,33.23584108,33.2406931,37.90691707,38.84435323,35.02758636,34.56022074,35.67568102
01/12/2015,23,33.2377615,35.87427362,32.50500655,33.2377615,33.2377615,34.06478663,33.2377615,33.24167778,37.90848761,38.84562488,35.02960594,34.56220415,35.67769661
01/12/2015,24,33.23968134,35.87547324,32.5068528,33.23968134,33.23968134,34.06689251,33.23968134,33.24266405,37.91005786,38.84689727,35.03162491,34.56418716,35.67971151
02/12/2015,1,33.24160058,35.87667131,32.50869849,33.24160058,33.24160058,34.06899775,33.24160058,33.24365191,37.91162785,38.8481704,35.03364329,34.56616978,35.68172574
02/12/2015,2,33.24351924,35.87786784,32.51054363,33.24351924,33.24351924,34.07110237,33.24351924,33.24464135,37.91319755,38.84944427,35.03566105,34.568152,35.68373928
02/12/2015,3,33.24543731,35.87906282,32.51238821,33.24543731,33.24543731,34.07320636,33.24543731,33.24563238,37.91476699,38.85071888,35.03767822,34.57013383,35.68575215
02/12/2015,4,33.24735479,35.88025626,32.51423223,33.24735479,33.24735479,34.07530972,33.24735479,33.24662499,37.91633614,38.85199423,35.03969478,34.57211525,35.68776434
02/12/2015,5,33.24927168,35.88144815,32.51607569,33.24927168,33.24927168,34.07741244,33.24927168,33.24761919,37.91790502,38.85327032,35.04171073,34.57409628,35.68977585
