Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
12/10/2016,1,36.95175127,
12/10/2016,2,36.95985515,
12/10/2016,3,36.96787986,
12/10/2016,4,36.9756987,
12/10/2016,5,36.98312165,
12/10/2016,6,36.98989535,
12/10/2016,7,36.99570308,
12/10/2016,8,37.00016478,
12/10/2016,9,37.00283707,42.41109851
12/10/2016,10,37.0032132,42.20058855
12/10/2016,11,37.0007231,41.99084104
12/10/2016,12,36.99473334,41.78202448
12/10/2016,13,36.98454716,41.57432421
12/10/2016,14,36.96940445,41.36794244
12/10/2016,15,36.94848176,41.16309821
12/10/2016,16,36.9208923,40.96002741
12/10/2016,17,36.88568595,40.75898279
12/10/2016,18,36.84184921,40.56023395
12/10/2016,19,36.78830528,40.36406734
12/10/2016,20,36.723914,40.17078624
12/10/2016,21,36.64747186,
12/10/2016,22,36.55771202,
12/10/2016,23,36.45330429,
12/10/2016,24,36.33285515,
13/10/2016,1,36.19741036,
13/10/2016,2,36.05587904,
13/10/2016,3,35.91035478,
13/10/2016,4,35.7605184,
13/10/2016,5,35.60603844,
13/10/2016,6,35.44657114,
13/10/2016,7,35.28176049,
13/10/2016,8,35.11123819,
13/10/2016,9,34.93462368,37.9247567
13/10/2016,10,34.7515241,37.76680574
13/10/2016,11,34.56153434,37.61125866
13/10/2016,12,34.36423698,37.45826109
13/10/2016,13,34.15920235,37.30796293
13/10/2016,14,33.9459885,37.16051837
13/10/2016,15,33.7241412,37.01608588
13/10/2016,16,33.49319393,36.87482824
13/10/2016,17,33.25266792,36.73691246
13/10/2016,18,33.0020721,36.60250989
13/10/2016,19,32.74090314,36.47179612
13/10/2016,20,32.46864543,36.34495104
13/10/2016,21,32.18477107,
13/10/2016,22,31.8887399,
13/10/2016,23,31.57999947,
13/10/2016,24,31.25798507,
14/10/2016,1,30.92751106,
14/10/2016,2,30.61000383,
14/10/2016,3,30.31150372,
14/10/2016,4,30.03278636,
14/10/2016,5,29.77464291,
14/10/2016,6,29.53788004,
14/10/2016,7,29.32331992,
14/10/2016,8,29.13180027,
14/10/2016,9,28.96417427,34.74765042
14/10/2016,10,28.82131064,34.59262787
14/10/2016,11,28.70409363,34.43091269
14/10/2016,12,28.61342298,34.2622701
14/10/2016,13,28.55021394,34.08646124
14/10/2016,14,28.51539729,33.90324323
14/10/2016,15,28.5099193,33.71236914
14/10/2016,16,28.53474177,33.51358797
14/10/2016,17,28.59084202,33.3066447
14/10/2016,18,28.67921287,33.09128023
14/10/2016,19,28.80086265,32.86723144
14/10/2016,20,28.9568152,32.63423116
14/10/2016,21,29.1481099,
14/10/2016,22,29.3758016,
14/10/2016,23,29.64096071,
14/10/2016,24,29.94467311,
15/10/2016,1,30.2787257,
15/10/2016,2,30.60645912,
15/10/2016,3,30.91825667,
15/10/2016,4,31.21368178,
15/10/2016,5,31.49229199,
15/10/2016,6,31.75363895,
15/10/2016,7,31.9972684,
15/10/2016,8,32.22272019,
15/10/2016,9,32.42952825,
15/10/2016,10,32.61722063,
15/10/2016,11,32.78531948,
15/10/2016,12,32.93334104,
15/10/2016,13,33.06079566,
15/10/2016,14,33.16718779,
15/10/2016,15,33.25201596,
15/10/2016,16,33.31477284,
15/10/2016,17,33.35494516,
15/10/2016,18,33.37201378,
15/10/2016,19,33.36545365,
15/10/2016,20,33.33473381,
15/10/2016,21,33.27931741,
15/10/2016,22,33.19866172,
15/10/2016,23,33.09221807,
15/10/2016,24,32.95943192,
16/10/2016,1,32.80511732,
16/10/2016,2,32.65043006,
16/10/2016,3,32.50079198,
16/10/2016,4,32.35630718,
16/10/2016,5,32.21708082,
16/10/2016,6,32.08321913,
16/10/2016,7,31.9548294,
16/10/2016,8,31.83201998,
16/10/2016,9,31.71490027,
16/10/2016,10,31.60358076,
16/10/2016,11,31.49817299,
16/10/2016,12,31.39878954,
16/10/2016,13,31.30554409,
16/10/2016,14,31.21855135,
16/10/2016,15,31.13792712,
16/10/2016,16,31.06378824,
16/10/2016,17,30.99625263,
16/10/2016,18,30.93543924,
16/10/2016,19,30.88146813,
16/10/2016,20,30.83446039,
16/10/2016,21,30.79453817,
16/10/2016,22,30.7618247,
16/10/2016,23,30.73644427,
16/10/2016,24,30.71852222,
17/10/2016,1,30.70952959,
17/10/2016,2,30.71501723,
17/10/2016,3,30.73658217,
17/10/2016,4,30.77449015,
17/10/2016,5,30.82900907,
17/10/2016,6,30.90040902,
17/10/2016,7,30.98896227,
17/10/2016,8,31.09494325,
17/10/2016,9,31.2186286,32.29130847
17/10/2016,10,31.36029712,32.71340015
17/10/2016,11,31.52022977,33.15190883
17/10/2016,12,31.69870972,33.60708903
17/10/2016,13,31.89602231,34.07919723
17/10/2016,14,32.11245504,34.56849185
17/10/2016,15,32.3482976,35.0752333
17/10/2016,16,32.60384187,35.59968392
17/10/2016,17,32.8793819,36.14210802
17/10/2016,18,33.1752139,36.70277188
17/10/2016,19,33.49163628,37.28194371
17/10/2016,20,33.82894963,37.87989369
17/10/2016,21,34.18745669,
17/10/2016,22,34.56746242,
17/10/2016,23,34.96927393,
17/10/2016,24,35.3932005,
18/10/2016,1,35.83287579,
18/10/2016,2,36.26171652,
18/10/2016,3,36.67284849,
18/10/2016,4,37.06602746,
18/10/2016,5,37.44100749,
18/10/2016,6,37.79754098,
18/10/2016,7,38.13537868,
18/10/2016,8,38.45426962,
18/10/2016,9,38.7539612,45.77595649
18/10/2016,10,39.03419912,46.2302918
18/10/2016,11,39.29472741,46.6559563
18/10/2016,12,39.53528845,47.05257521
18/10/2016,13,39.75562292,47.41977134
18/10/2016,14,39.95546984,47.75716503
18/10/2016,15,40.13456655,48.06437421
18/10/2016,16,40.29264873,48.34101437
18/10/2016,17,40.42945038,48.58669858
18/10/2016,18,40.54470381,48.80103746
18/10/2016,19,40.63813968,48.98363919
18/10/2016,20,40.70948698,49.13410953
18/10/2016,21,40.758473,
18/10/2016,22,40.78482339,
18/10/2016,23,40.7882621,
18/10/2016,24,40.76851142,
19/10/2016,1,40.72924566,
19/10/2016,2,40.68609277,
19/10/2016,3,40.64298348,
19/10/2016,4,40.59991831,
19/10/2016,5,40.55689778,
19/10/2016,6,40.51392241,
19/10/2016,7,40.47099273,
19/10/2016,8,40.42810927,
19/10/2016,9,40.38527256,49.26745115
19/10/2016,10,40.34248313,49.25140113
19/10/2016,11,40.29974152,49.23536303
19/10/2016,12,40.25704827,49.21933698
19/10/2016,13,40.21440392,49.20332312
19/10/2016,14,40.17180902,49.18732157
19/10/2016,15,40.12926412,49.17133249
19/10/2016,16,40.08676977,49.15535599
19/10/2016,17,40.04432652,49.13939224
19/10/2016,18,40.00193495,49.12344135
19/10/2016,19,39.95959559,49.10750348
19/10/2016,20,39.91730903,49.09157877
19/10/2016,21,39.87507583,
19/10/2016,22,39.83289656,
19/10/2016,23,39.7907718,
19/10/2016,24,39.74870211,
20/10/2016,1,39.70668808,
20/10/2016,2,39.6647303,
20/10/2016,3,39.62282934,
20/10/2016,4,39.5809858,
20/10/2016,5,39.53920027,
20/10/2016,6,39.49747335,
20/10/2016,7,39.45580563,
20/10/2016,8,39.41419771,
20/10/2016,9,39.3726502,48.88581982
20/10/2016,10,39.3311637,48.87009445
20/10/2016,11,39.28973883,48.85438444
20/10/2016,12,39.2483762,48.83868993
20/10/2016,13,39.20707642,48.82301109
20/10/2016,14,39.16584011,48.80734806
20/10/2016,15,39.1246679,48.791701
20/10/2016,16,39.08356041,48.77607006
20/10/2016,17,39.04251827,48.76045541
20/10/2016,18,39.00154211,48.7448572
20/10/2016,19,38.96063257,48.72927559
20/10/2016,20,38.91979027,48.71371073
20/10/2016,21,38.87901588,
20/10/2016,22,38.83831001,
20/10/2016,23,38.79767334,
20/10/2016,24,38.75710649,
21/10/2016,1,38.71661013,
