Report Date,Market,BenchName,Currency,TimeZone,Resolution
13/10/2016,EEX,EEX,EUR,Central Europe Standard Time,Hour
,,DE/ATBase,DE/ATPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
13/10/2016,1,38.1164577232047,
13/10/2016,2,37.7431133871695,
13/10/2016,3,37.3698808404146,
13/10/2016,4,36.9969389457885,
13/10/2016,5,36.6245559975641,
13/10/2016,6,36.2530897214385,
13/10/2016,7,35.8829872745328,
13/10/2016,8,35.5147852453928,
13/10/2016,9,35.1491096539882,38.362557753278
13/10/2016,10,34.7866759517133,38.0726959111948
13/10/2016,11,34.4282890213864,37.7850124508092
13/10/2016,12,34.0748431772499,37.4999887824415
13/10/2016,13,33.7273221649712,37.2181544574435
13/10/2016,14,33.3867991616412,36.9400871681991
13/10/2016,15,33.0544367757752,36.6664127481243
13/10/2016,16,32.7314870473132,36.3978051716669
13/10/2016,17,32.4192914476188,36.1349865543071
13/10/2016,18,32.1192808794808,35.8787271525565
13/10/2016,19,31.8329756771113,35.6298453639592
13/10/2016,20,31.561985606147,35.3892077270912
13/10/2016,21,31.308009863649,
13/10/2016,22,31.072837078103,
13/10/2016,23,30.858345309418,
13/10/2016,24,30.6665020489277,
14/10/2016,1,30.4962322901158,
14/10/2016,2,30.3366306404066,
14/10/2016,3,30.1853311168514,
14/10/2016,4,30.0429973790368,
14/10/2016,5,29.9103186119157,
14/10/2016,6,29.7880095258097,
14/10/2016,7,29.6768103564111,
14/10/2016,8,29.5774868647793,
14/10/2016,9,29.490830337342,33.2220420081289
14/10/2016,10,29.4176575858962,33.1384731082082
14/10/2016,11,29.3588109476075,33.0703133790582
14/10/2016,12,29.3151582850105,33.0184962938318
14/10/2016,13,29.2875929860086,32.9839827807713
14/10/2016,14,29.2770339638714,32.9677612232144
14/10/2016,15,29.2844256572414,32.9708474595902
14/10/2016,16,29.310738030126,32.9942847834216
14/10/2016,17,29.3569665719033,33.0391439433226
14/10/2016,18,29.4241322973198,33.1065231430003
14/10/2016,19,29.5132817464894,33.1975480412563
14/10/2016,20,29.6254869848963,33.3133717519831
14/10/2016,21,29.761845603392,
14/10/2016,22,29.9234807181979,
14/10/2016,23,30.1115409709039,
14/10/2016,24,30.3272005284664,
15/10/2016,1,30.5648126030553,
15/10/2016,2,30.797644799904,
15/10/2016,3,31.0185133490643,
15/10/2016,4,31.2269300380219,
15/10/2016,5,31.4223968900099,
15/10/2016,6,31.6044061640123,
15/10/2016,7,31.7724403547647,
15/10/2016,8,31.9259721927485,
15/10/2016,9,32.0644646441976,
15/10/2016,10,32.187370911096,
15/10/2016,11,32.2941344311746,
15/10/2016,12,32.3841888779152,
15/10/2016,13,32.4569581605522,
15/10/2016,14,32.5118564240649,
15/10/2016,15,32.548288049185,
15/10/2016,16,32.565647652395,
15/10/2016,17,32.5633200859243,
15/10/2016,18,32.5406804377526,
15/10/2016,19,32.4970940316105,
15/10/2016,20,32.4319164269796,
15/10/2016,21,32.3444934190868,
15/10/2016,22,32.234161038913,
15/10/2016,23,32.1002455531857,
15/10/2016,24,31.9420634643848,
16/10/2016,1,31.7673879128115,
16/10/2016,2,31.6098524761501,
16/10/2016,3,31.4785147617754,
16/10/2016,4,31.3740924490703,
16/10/2016,5,31.2973129157967,
16/10/2016,6,31.2489132380861,
16/10/2016,7,31.2296401904323,
16/10/2016,8,31.2402502457071,
16/10/2016,9,31.2815095751503,
16/10/2016,10,31.3541940483724,
16/10/2016,11,31.4590892333495,
16/10/2016,12,31.5969903964351,
16/10/2016,13,31.768702502347,
16/10/2016,14,31.9750402141763,
16/10/2016,15,32.2168278933796,
16/10/2016,16,32.4948995997938,
16/10/2016,17,32.8100990916146,
16/10/2016,18,33.1632798254122,
16/10/2016,19,33.5553049561267,
16/10/2016,20,33.9870473370729,
16/10/2016,21,34.4593895199296,
16/10/2016,22,34.9732237547451,
16/10/2016,23,35.5294519899426,
16/10/2016,24,36.1289858723148,
17/10/2016,1,36.7603728613153,
17/10/2016,2,37.3745323503745,
17/10/2016,3,37.9586046879938,
17/10/2016,4,38.5119695531612,
17/10/2016,5,39.0340002950638,
17/10/2016,6,39.5240639330752,
17/10/2016,7,39.9815211567709,
17/10/2016,8,40.4057263259133,
17/10/2016,9,40.7960274704608,48.8627090895225
17/10/2016,10,41.1517662905676,49.0237304789553
17/10/2016,11,41.4722781565783,49.1703281888167
17/10/2016,12,41.7568921090356,49.3022274946916
17/10/2016,13,42.0049308586708,49.4191510804294
17/10/2016,14,42.2157107864123,49.5208190381391
17/10/2016,15,42.3885419433832,49.606948868186
17/10/2016,16,42.5227280508973,49.6772554792046
17/10/2016,17,42.6175665004621,49.7314511880791
17/10/2016,18,42.6723483537824,49.769245719961
17/10/2016,19,42.6863583427539,49.79034620826
17/10/2016,20,42.6588748694692,49.794457194645
17/10/2016,21,42.5891700062109,
17/10/2016,22,42.4765094954523,
17/10/2016,23,42.3201527498734,
17/10/2016,24,42.1193528523322,
18/10/2016,1,41.8824798466667,
18/10/2016,2,41.6455716791861,
18/10/2016,3,41.4178261310135,
18/10/2016,4,41.1993946452676,
18/10/2016,5,40.9904299064292,
18/10/2016,6,40.7910858402729,
18/10/2016,7,40.6015176139435,
18/10/2016,8,40.4218816359153,
18/10/2016,9,40.252335555997,48.6657096738581
18/10/2016,10,40.0930382653241,48.5281123320765
18/10/2016,11,39.944149896397,48.3842356689502
18/10/2016,12,39.8058318230178,48.2339823335578
18/10/2016,13,39.6782466603618,48.0772542261402
18/10/2016,14,39.5615582649061,47.9139524980646
18/10/2016,15,39.4559317344956,47.7439775518578
18/10/2016,16,39.3615334082906,47.5672290411921
18/10/2016,17,39.2785308667999,47.3836058708803
18/10/2016,18,39.2070929318643,47.1930061968942
18/10/2016,19,39.1473896666676,46.995327426338
18/10/2016,20,39.0995923757255,46.7904662174669
18/10/2016,21,39.0638736048859,
18/10/2016,22,39.040407141345,
18/10/2016,23,39.0293680136338,
18/10/2016,24,39.0309324916097,
19/10/2016,1,39.0428722764154,
19/10/2016,2,39.0556760063491,
19/10/2016,3,39.0669333374226,
19/10/2016,4,39.0766229404999,
19/10/2016,5,39.0847233403592,
19/10/2016,6,39.0912129156768,
19/10/2016,7,39.0960698990566,
19/10/2016,8,39.0992723769978,
19/10/2016,9,39.1007982899164,44.0783900142551
19/10/2016,10,39.1006254321373,43.9279649270775
19/10/2016,11,39.0987314518916,43.78844737912
19/10/2016,12,39.095093851327,43.6599799495543
19/10/2016,13,39.0896899865002,43.5427061434111
19/10/2016,14,39.0824970673712,43.4367703915614
19/10/2016,15,39.0734921578141,43.342318050697
19/10/2016,16,39.0626521756176,43.2594954033693
19/10/2016,17,39.0499538924787,43.1884496579532
19/10/2016,18,39.0353739339926,43.1293289486721
19/10/2016,19,39.0188887796849,43.0822823355757
19/10/2016,20,39.000474762971,43.0474598045785
19/10/2016,21,38.9801080711914,
19/10/2016,22,38.9577647455872,
19/10/2016,23,38.9334206813219,
19/10/2016,24,38.907051627446,
20/10/2016,1,38.8789836748765,
20/10/2016,2,38.850602582077,
20/10/2016,3,38.8222571767856,
20/10/2016,4,38.7939478813332,
20/10/2016,5,38.7656751205313,
20/10/2016,6,38.7374393216769,
20/10/2016,7,38.7092409145607,
20/10/2016,8,38.6810803314456,
20/10/2016,9,38.6529580070746,43.2871990045724
20/10/2016,10,38.6248743786982,43.3154675651349
20/10/2016,11,38.5968298860253,43.3437010141342
20/10/2016,12,38.5688249712666,43.3718989548406
20/10/2016,13,38.5408600791106,43.4000609882869
20/10/2016,14,38.5129356567231,43.428186713285
20/10/2016,15,38.4850521537664,43.4562757264093
20/10/2016,16,38.4572100223913,43.4843276220136
20/10/2016,17,38.4294097172069,43.5123419922165
20/10/2016,18,38.401651695327,43.5403184269135
20/10/2016,19,38.3739364163594,43.5682565137677
20/10/2016,20,38.34626434237,43.5961558382105
20/10/2016,21,38.3186359379215,
