Report Date,Market,BenchName,Currency,TimeZone,Resolution
12/08/2013,NPS_SpotSubDaily,NPS_SpotSubDaily,EUR,Central Europe Standard Time,Hour
,,NPSBase,NPSPeak
,Winter Short,90,90
,Winter Medium,17,17
,Winter Long,10,10
,Winter Time,0.5,0.5
,Summer Short,90,90
,Summer Medium,17,17
,Summer Long,10,10
,Summer Time,0.5,0.5
Date,Hour
12/08/2013,1,33.21,0
12/08/2013,2,31.6,0
12/08/2013,3,31.15,0
12/08/2013,4,30.76,0
12/08/2013,5,31.1,0
12/08/2013,6,34.0454,0
12/08/2013,7,35.15448,0
12/08/2013,8,33.8448,0
12/08/2013,9,39.2593,38.5293
12/08/2013,10,36.2,39.962
12/08/2013,11,37.596,38.4596
12/08/2013,12,33.518,38.8518
12/08/2013,13,37.98,37.9898
12/08/2013,14,33.04,38.4504
12/08/2013,15,37.54561,37.4561
12/08/2013,16,36.1297,36.5497
12/08/2013,17,37.7827,37.5427
12/08/2013,18,37.2171,37.7165
12/08/2013,19,38.9516,32.1456
12/08/2013,20,32.54034641294,38.07
12/08/2013,21,36.4538,0
12/08/2013,22,36.26,0
12/08/2013,23,36.0854034641294,0
12/08/2013,24,34.2408540346412,0
13/08/2013,1,36.0854034641294,0
13/08/2013,2,36.0729336371988,0
13/08/2013,3,36.0595690317662,0
13/08/2013,4,36.0452381205728,0
13/08/2013,5,36.0298666253107,0
13/08/2013,6,36.0133775166238,0
13/08/2013,7,35.9956910141079,0
13/08/2013,8,35.9767245863099,0
13/08/2013,9,35.9563929507285,35.9563929507285
13/08/2013,10,35.9346080738139,35.9346080738139
13/08/2013,11,35.9112791709681,35.9112791709681
13/08/2013,12,35.8863127065442,35.8863127065442
13/08/2013,13,35.8596123938476,35.8596123938476
13/08/2013,14,35.8310791951342,35.8310791951342
13/08/2013,15,35.8006113216124,35.8006113216124
13/08/2013,16,35.7681042334422,35.7681042334422
13/08/2013,17,35.7334506397343,35.7334506397343
13/08/2013,18,35.6965404985515,35.6965404985515
13/08/2013,19,35.6572610169088,35.6572610169088
13/08/2013,20,35.6154966507715,35.6154966507715
13/08/2013,21,35.5711291050571,0
13/08/2013,22,35.5240373336354,0
13/08/2013,23,35.4740975393258,0
13/08/2013,24,35.4211831739026,0
14/08/2013,1,35.3660816933033,0
14/08/2013,2,35.3124046185644,0
14/08/2013,3,35.261146543801,0
14/08/2013,4,35.2124061835596,0
14/08/2013,5,35.1662842266783,0
14/08/2013,6,35.1228833362864,0
14/08/2013,7,35.0823081498031,0
14/08/2013,8,35.0446652789394,0
14/08/2013,9,35.0100633096973,35.0100633096973
14/08/2013,10,34.9786128023691,34.9786128023691
14/08/2013,11,34.9504262915391,34.9504262915391
14/08/2013,12,34.9256182860813,34.9256182860813
14/08/2013,13,34.9043052691609,34.9043052691609
14/08/2013,14,34.8866056982351,34.8866056982351
14/08/2013,15,34.8726400050509,34.8726400050509
14/08/2013,16,34.8625305956469,34.8625305956469
14/08/2013,17,34.8564018503517,34.8564018503517
14/08/2013,18,34.8543801237861,34.8543801237861
14/08/2013,19,34.8565937448609,34.8565937448609
14/08/2013,20,34.863173016779,34.863173016779
14/08/2013,21,34.8742502170323,0
14/08/2013,22,34.8899595974051,0
14/08/2013,23,34.9104373839726,0
14/08/2013,24,34.9358217771012,0
15/08/2013,1,34.9652973163304,0
15/08/2013,2,34.9951304470999,0
15/08/2013,3,35.0243624705753,0
15/08/2013,4,35.052976919588,0
15/08/2013,5,35.0809571044404,0
15/08/2013,6,35.108286112904,0
15/08/2013,7,35.1349468102229,0
15/08/2013,8,35.1609218391106,0
15/08/2013,9,35.1861936197521,35.1861936197521
15/08/2013,10,35.2107443498024,35.2107443498024
15/08/2013,11,35.2345560043882,35.2345560043882
15/08/2013,12,35.2576103361051,35.2576103361051
15/08/2013,13,35.2798888750217,35.2798888750217
15/08/2013,14,35.3013729286753,35.3013729286753
15/08/2013,15,35.3220435820749,35.3220435820749
15/08/2013,16,35.3418816977003,35.3418816977003
15/08/2013,17,35.3608679155006,35.3608679155006
15/08/2013,18,35.3789826528987,35.3789826528987
15/08/2013,19,35.3962061047846,35.3962061047846
15/08/2013,20,35.4125182435209,35.4125182435209
15/08/2013,21,35.4278988189405,0
15/08/2013,22,35.4423273583473,0
15/08/2013,23,35.4557831665145,0
15/08/2013,24,35.4682453256894,0
16/08/2013,1,35.4789210870545,0
16/08/2013,2,35.4846704703439,0
16/08/2013,3,35.4846113277749,0
16/08/2013,4,35.4786239022274,0
16/08/2013,5,35.4665872145665,0
16/08/2013,6,35.4483790636509,0
16/08/2013,7,35.4238760263254,0
16/08/2013,8,35.3929534574218,0
16/08/2013,9,35.355485489765,35.355485489765
16/08/2013,10,35.311345034163,35.311345034163
16/08/2013,11,35.260403779416,35.260403779416
16/08/2013,12,35.2025321923122,35.2025321923122
16/08/2013,13,35.1375995176272,35.1375995176272
16/08/2013,14,35.0654737781258,35.0654737781258
16/08/2013,15,34.9860217745631,34.9860217745631
16/08/2013,16,34.8991090856794,34.8991090856794
16/08/2013,17,34.8046000682057,34.8046000682057
16/08/2013,18,34.702357856861,34.702357856861
16/08/2013,19,34.5922443643533,34.5922443643533
16/08/2013,20,34.4741202813796,34.4741202813796
16/08/2013,21,34.3478450766231,0
16/08/2013,22,34.2132769967584,0
16/08/2013,23,34.0702730664475,0
16/08/2013,24,33.9186890883402,0
17/08/2013,1,33.7607737021287,0
17/08/2013,2,33.6060363702873,0
17/08/2013,3,33.4569438185399,0
17/08/2013,4,33.3135893458768,0
17/08/2013,5,33.1760670160352,0
17/08/2013,6,33.0444716574943,0
17/08/2013,7,32.9188988634849,0
17/08/2013,8,32.7994449919788,0
17/08/2013,9,32.6862071656954,0
17/08/2013,10,32.5792832720992,0
17/08/2013,11,32.4787719634037,0
17/08/2013,12,32.3847726565621,0
17/08/2013,13,32.2973855332802,0
17/08/2013,14,32.2167115400043,0
17/08/2013,15,32.1428523879295,0
17/08/2013,16,32.0759105529964,0
17/08/2013,17,32.0159892758898,0
17/08/2013,18,31.9631925620415,0
17/08/2013,19,31.9176251816302,0
17/08/2013,20,31.8793926695787,0
17/08/2013,21,31.8486013255547,0
17/08/2013,22,31.8253582139751,0
17/08/2013,23,31.8097711640003,0
17/08/2013,24,31.8019487695365,0
18/08/2013,1,31.8009932537657,0
18/08/2013,2,31.8029582029928,0
18/08/2013,3,31.8068701216939,0
18/08/2013,4,31.812755863986,0
18/08/2013,5,31.8206424679195,0
18/08/2013,6,31.8305571554752,0
18/08/2013,7,31.8425273325665,0
18/08/2013,8,31.8565805890416,0
18/08/2013,9,31.872744698677,0
18/08/2013,10,31.8910476191859,0
18/08/2013,11,31.9115174922106,0
18/08/2013,12,31.934182643326,0
18/08/2013,13,31.9590715820405,0
18/08/2013,14,31.9862130017946,0
18/08/2013,15,32.0156357799603,0
18/08/2013,16,32.0473689778437,0
18/08/2013,17,32.0814418406803,0
18/08/2013,18,32.1178837976399,0
18/08/2013,19,32.1567244618254,0
18/08/2013,20,32.1979936302696,0
18/08/2013,21,32.2417212839391,0
18/08/2013,22,32.2879375877326,0
18/08/2013,23,32.3366728904825,0
18/08/2013,24,32.3879577249493,0
19/08/2013,1,32.4413513988916,0
19/08/2013,2,32.4949879465321,0
19/08/2013,3,32.548396069297,0
19/08/2013,4,32.6015730639783,0
19/08/2013,5,32.6545162114717,0
19/08/2013,6,32.7072227767665,0
19/08/2013,7,32.7596900089538,0
19/08/2013,8,32.8119151412234,0
19/08/2013,9,32.8638953908624,32.8638953908624
19/08/2013,10,32.9156279592592,32.9156279592592
19/08/2013,11,32.9671100318965,32.9671100318965
19/08/2013,12,33.0183387783622,33.0183387783622
19/08/2013,13,33.069311352338,33.069311352338
19/08/2013,14,33.120024891603,33.120024891603
19/08/2013,15,33.170476518043,33.170476518043
19/08/2013,16,33.2206633376341,33.2206633376341
19/08/2013,17,33.2705824404561,33.2705824404561
19/08/2013,18,33.3202309006861,33.3202309006861
19/08/2013,19,33.3696057765978,33.3696057765978
19/08/2013,20,33.4187041105679,33.4187041105679
