Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,APIGas,APIGas,EUR,Central Europe Standard Time,Hour
,,TTF
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
03/11/2014,1,20.6003615720993
03/11/2014,2,20.5990437639404
03/11/2014,3,20.5977259557814
03/11/2014,4,20.5964081476225
03/11/2014,5,20.5950903394636
03/11/2014,6,20.5937725313047
03/11/2014,7,20.5924547231747
03/11/2014,8,20.5911369152093
03/11/2014,9,20.5898191074949
03/11/2014,10,20.5885013001029
03/11/2014,11,20.5871834931134
03/11/2014,12,20.585865686615
03/11/2014,13,20.5845478807058
03/11/2014,14,20.5832300754924
03/11/2014,15,20.5819122710904
03/11/2014,16,20.5805944676243
03/11/2014,17,20.5792766652274
03/11/2014,18,20.5779588640423
03/11/2014,19,20.5766410642197
03/11/2014,20,20.5753232659198
03/11/2014,21,20.5740054693119
03/11/2014,22,20.5726876745735
03/11/2014,23,20.5713698818913
03/11/2014,24,20.5700520914611
04/11/2014,1,20.5687343034873
04/11/2014,2,20.5674165181836
04/11/2014,3,20.5660987357716
04/11/2014,4,20.5647809564833
04/11/2014,5,20.5634631805586
04/11/2014,6,20.562145408246
04/11/2014,7,20.5608276391583
04/11/2014,8,20.5595098708952
04/11/2014,9,20.5581921028449
04/11/2014,10,20.5568743350218
04/11/2014,11,20.5555565674401
04/11/2014,12,20.5542388001143
04/11/2014,13,20.5529210330585
04/11/2014,14,20.5516032662903
04/11/2014,15,20.5502854998232
04/11/2014,16,20.5489677336757
04/11/2014,17,20.5476499678628
04/11/2014,18,20.5463322024025
04/11/2014,19,20.5450144373119
04/11/2014,20,20.5436966726108
04/11/2014,21,20.5423789083156
04/11/2014,22,20.5410611444454
04/11/2014,23,20.5397433810213
04/11/2014,24,20.538425618061
05/11/2014,1,20.5371078555856
05/11/2014,2,20.5357900936165
05/11/2014,3,20.5344723321732
05/11/2014,4,20.5331545712784
05/11/2014,5,20.5318368109531
05/11/2014,6,20.5305190512206
05/11/2014,7,20.5292012921034
05/11/2014,8,20.5278835336239
05/11/2014,9,20.5265657758061
05/11/2014,10,20.5252480186753
05/11/2014,11,20.5239302622551
05/11/2014,12,20.522612506569
05/11/2014,13,20.5212947516447
05/11/2014,14,20.519976997507
05/11/2014,15,20.5186592441817
05/11/2014,16,20.517341491696
05/11/2014,17,20.5160237400767
05/11/2014,18,20.5147059893523
