Report Date,Market,BenchName,Currency,TimeZone,Resolution
03/11/2014,Oil_Brent,Oil_Brent,USD,Central Europe Standard Time,Hour
,,BRN
,Winter Short,90
,Winter Medium,17
,Winter Long,10
,Winter Time,0.5
,Summer Short,90
,Summer Medium,17
,Summer Long,10
,Summer Time,0.5
Date,Hour
03/11/2014,1,85.2300000000001
03/11/2014,2,85.2300000000001
03/11/2014,3,85.2300000000001
03/11/2014,4,85.2300000000001
03/11/2014,5,85.2300000000001
03/11/2014,6,85.2300000000001
03/11/2014,7,85.2300000000001
03/11/2014,8,85.2300000000001
03/11/2014,9,85.2300000000001
03/11/2014,10,85.2300000000001
03/11/2014,11,85.2300000000001
03/11/2014,12,85.2300000000001
03/11/2014,13,85.2300000000001
03/11/2014,14,85.2300000000001
03/11/2014,15,85.2300000000001
03/11/2014,16,85.2300000000001
03/11/2014,17,85.2300000000001
03/11/2014,18,85.2300000000001
03/11/2014,19,85.2300000000001
03/11/2014,20,85.2300000000001
03/11/2014,21,85.2300000000001
03/11/2014,22,85.2300000000001
03/11/2014,23,85.2300000000001
03/11/2014,24,85.2300000000001
04/11/2014,1,85.2300000000001
04/11/2014,2,85.2300000000001
04/11/2014,3,85.2300000000001
04/11/2014,4,85.2300000000001
04/11/2014,5,85.2300000000001
04/11/2014,6,85.2300000000001
04/11/2014,7,85.2300000000001
04/11/2014,8,85.2300000000001
04/11/2014,9,85.2300000000001
04/11/2014,10,85.2300000000001
04/11/2014,11,85.2300000000001
04/11/2014,12,85.2300000000001
04/11/2014,13,85.2300000000001
04/11/2014,14,85.2300000000001
04/11/2014,15,85.2300000000001
04/11/2014,16,85.2300000000001
04/11/2014,17,85.2300000000001
04/11/2014,18,85.2300000000001
04/11/2014,19,85.2300000000001
04/11/2014,20,85.2300000000001
04/11/2014,21,85.2300000000001
04/11/2014,22,85.2300000000001
04/11/2014,23,85.2300000000001
04/11/2014,24,85.2300000000001
05/11/2014,1,85.2300000000001
05/11/2014,2,85.2300000000001
05/11/2014,3,85.2300000000001
05/11/2014,4,85.2300000000001
05/11/2014,5,85.2300000000001
05/11/2014,6,85.2300000000001
05/11/2014,7,85.2300000000001
05/11/2014,8,85.2300000000001
05/11/2014,9,85.2300000000001
05/11/2014,10,85.2300000000001
05/11/2014,11,85.2300000000001
05/11/2014,12,85.2300000000001
05/11/2014,13,85.2300000000001
05/11/2014,14,85.2300000000001
05/11/2014,15,85.2300000000001
05/11/2014,16,85.2300000000001
05/11/2014,17,85.2300000000001
05/11/2014,18,85.2300000000001
